N, V, Time (ms)
1000000, 2, 85.2734
1000000, 4, 81.9692
1000000, 8, 85.1556
1000000, 16, 90.5399
1000000, 32, 82.7185
1000000, 64, 91.5099
1000000, 128, 86.0297
1000000, 256, 89.1363
