N, V, Time (ms)
10000, 2, 0.707005
10000, 4, 0.722737
10000, 8, 1.03001
10000, 16, 0.728516
10000, 32, 0.800263
10000, 64, 0.747037
10000, 128, 0.724959
10000, 256, 0.703406
