N, V, Time (ms)
10000000, 2, 666.552
10000000, 4, 668.365
10000000, 8, 664.606
10000000, 16, 665.304
10000000, 32, 668.537
10000000, 64, 680.166
10000000, 128, 677.622
10000000, 256, 791.396
