N, V, Time (ms)
1000, 2, 0.072804
1000, 4, 0.071169
1000, 8, 0.07463
1000, 16, 0.073945
1000, 32, 0.073542
1000, 64, 0.073085
1000, 128, 0.09511
1000, 256, 0.06846
